Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
blood platelet	16/301	0.001149669609503901	0.2379816091673075	0	0	2.4052554832308592	16.279444203106912	USP21;TYRP1;SYT13;ZNF57;ZBTB41;C1ORF95;IL4;OSTM1;PDGFC;BAI3;PCDHA5;PCNX;E2F4;SULT6B1;MCF2L2;GALNT9
CEM cell	12/301	0.036231337576479845	1.0	0	0	1.8039416124231444	5.985173143625637	RNF125;S100A7L2;TRPA1;TMEM116;CCDC85A;PCDHA5;PCDHA4;RHOH;HSPBAP1;BAHCC1;ALOXE3;ZBTB2
LNCaP cell	12/301	0.036231337576479845	1.0	0	0	1.8039416124231444	5.985173143625637	ZNF397;PPP1R15A;PGBD3;NEK4;C5ORF28;PSEN2;SGMS2;PDE6A;DGKI;GALNT9;ZBTB41;TMEM110
Hep-G2 cell	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	TMEM179;MEF2B;RNF125;SV2C;C5ORF28;FNTB;BAHCC1;SLC36A4;TP73;TTLL8;TMEM110
UPCI:SCC075	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	DOCK5;TMEM161A;SV2C;CEP164;SAG;CMTM2;AZI2;CKLF;GPR137B;IL18R1;REPS1
cerumen	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	FAM83H;WDR36;CNTD2;ALOX12B;OLIG2;PCDHA8;BAHCC1;ALOXE3;SLC36A4;ZBTB41;TMEM45A
colorectal cancer cell	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	LNP1;KRTAP13-4;CCDC85A;PCNX;SLITRK6;SGMS2;VWCE;BAHCC1;ZBTB41;ZBTB2;TTLL8
iPS DF19.7	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	TDRD1;S100A7L2;KRTAP13-4;C14ORF180;ZNF480;MMP17;GDAP1L1;ARMC7;AEN;KCNK1;ADAT3
serum	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	CYP26C1;PPP2R2C;FANCD2;ZNHIT6;ADAMTS18;RHOH;ERCC6;SOX6;TCEB3B;SSTR3;RAD54B
urine	11/301	0.07189533901856296	1.0	0	0	1.653613144721216	4.353209101592342	CYP26A1;ASPM;JAG1;CTDSPL;PCDHA4;HAS2;ALOX12B;HIF3A;FMO3;CDH16;LOXL1
M14 cell	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	GPRC6A;C16ORF70;GAS2L3;RHBDD3;RNF138;TYRP1;OLIG2;E2F4;HSPBAP1;ADAMTS20
UPCI:SCC056	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	PRKAB2;TMEM161A;SV2C;GALNT3;NT5DC2;FAM96B;ACAD10;CKLF;ZBTB41;REPS1
colon	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	KRTAP13-4;RHBDD3;CEBPD;TCEB3B;KCNK1;PCDHA8;ALOXE3;ZBTB41;ADAMTS20;TMEM45A
hES H14	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	RNF125;SV2C;MYOD1;PCDHA5;CMTM2;ZNF57;ZNF345;KRTAP19-5;SH2B3;ZBTB41
iPS DF4.7	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	LNP1;RNF125;S100A7L2;CEBPD;ZNF271;ARMC7;ZNF77;PCDHA2;MCF2L2;ZBTB41
placenta	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	KISS1;MEF2B;FAM162B;CMTM3;CEP164;TMEM208;DIRC2;B4GALT4;DLK1;SLC25A36
renal cell carcinoma cell	10/301	0.1320242475335392	1.0	0	0	1.5032846770192871	3.0438052341808395	KISS1;MYCT1;MEF2B;PPP2R2C;MUSTN1;ADAMTS18;XPC;RGS9;GNL3;C1ORF95
BICR16	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	TSKS;RANBP2;RAD50;TMEM161A;TFRC;RHBDD3;NT5DC2;CEP164;AZI2
HMEpC cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	TDRD1;ACHE;GAS2L3;JAG1;SPHKAP;CCDC85A;PCDHA3;DIRC2;DGKI
JURKAT cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	CCDC144B;C5ORF34;BBS10;MYOD1;MMP17;TMEM219;ZNF77;OLIG2;ZNF345
